Id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
29,771.34,3.8375,12.857,0,0,54.711,33.425,0.49751,0.79602,682.01,3.3931,8.956,0,0,80.491,72.627,0.199,0.39801,1022.6,5.0875,10.861,0,0,104.28,22.598,0.29851,0.89552,1
30,837.95,4.1689,9.7081,0,0,85.135,68.88,0.29851,0.49751,653.13,3.2494,9.5978,0,0,75.666,37.681,0.29851,0.49751,984.55,4.8982,10.936,0,0,142.76,36.127,0.29851,0.79602,1
31,697.28,3.4691,9.1161,0,0,86.145,100.32,0.199,0.39801,661.62,3.2917,8.8804,0,0,52.028,86.684,0.199,0.39801,736.4,3.6637,9.7245,0,0,36.743,60.724,0.39801,0.59701,1
32,673.68,3.3516,8.6204,0,0,86.244,21.899,0.49751,0.79602,673.62,3.3514,9.6446,0,0,107.25,81.977,0.199,0.49751,1205.5,5.9976,12.327,0,0,192.19,114.99,0.199,0.39801,1
33,691.56,3.4406,11.625,0,0,60.211,141.6,0.199,0.39801,689.89,3.4323,11.018,0,0,94.952,64.55,0.29851,0.49751,868.15,4.3192,10.387,0,0,95.963,88.899,0.199,0.49751,1
34,737.52,3.6693,11.416,0,0,103.96,46.016,0.199,0.59701,713.92,3.5518,11.27,0,0,112.78,27.308,0.29851,0.59701,1018.5,5.0671,9.8464,0,0,112.19,55.902,0.39801,0.69652,1
35,709.05,3.5276,9.3336,0,0,106.7,33.034,0.29851,0.69652,667.8,3.3224,10.391,0,0,36.01,61.974,0.29851,0.49751,935.26,4.6531,10.582,0,0,95.867,12.315,0.29851,1.0945,1
36,835.92,4.1588,10.375,0,0,139.98,90.977,0.199,0.49751,782.06,3.8908,10.996,0,0,79.963,75.516,0.199,0.39801,1071.6,5.3315,10.797,0,0,108.64,85.848,0.199,0.39801,1
37,904.21,4.4986,8.8121,0,0,80.699,65.477,0.39801,0.59701,943.47,4.6939,9.1772,0,0,139.61,32.96,0.29851,0.89552,1025.3,5.1012,8.2402,0,0,169.68,135.51,0.199,0.49751,1
38,970.39,4.8278,9.9325,0,0,135.39,81.056,0.199,0.39801,769.95,3.8306,11.28,0,0,41.846,19.257,0.69652,1.0945,1022.4,5.0864,10.482,0,0,183.62,64.487,0.39801,0.59701,1
39,929.89,4.6263,9.9614,0,0,63.114,43.943,0.49751,0.79602,881.95,4.3878,10.549,0,0,116.12,22.522,0.199,1.194,1013.7,5.0432,10.151,0,0,122.39,60.894,0.39801,0.59701,1
40,808.1,4.0204,12.63,0,0,113.47,79.397,0.199,0.49751,725.92,3.6115,10.429,0,0,58.609,94.798,0.29851,0.49751,1015.7,5.0531,9.7849,0,0,158.62,11.599,0.39801,1.194,1
41,836.9,4.1637,8.6794,0,0,47.734,18.081,0.39801,0.89552,747.05,3.7167,13.035,0,0,75.912,50.253,0.39801,0.59701,941.89,4.686,10.33,0,0,183.84,66.947,0.29851,0.59701,1
